x_PS,y_PS,Moho_depth
1050000,-2640000,14.7567758560181
1057500,-2640000,14.6187143325806
1065000,-2640000,14.4750337600708
1072500,-2640000,14.3239860534668
1080000,-2640000,14.1686029434204
1087500,-2640000,14.0299892425537
1095000,-2640000,13.8957405090332
1102500,-2640000,13.7560405731201
1110000,-2640000,13.6023550033569
1117500,-2640000,13.4423503875732
1125000,-2640000,13.2795028686523
1132500,-2640000,13.1201019287109
1140000,-2640000,12.9693946838379
1147500,-2640000,12.8416757583618
1155000,-2640000,12.7317352294922
1162500,-2640000,12.632360458374
1170000,-2640000,12.5337772369385
1177500,-2640000,12.4308986663818
1185000,-2640000,12.3355827331543
1192500,-2640000,12.2580490112305
1200000,-2640000,12.2038946151733
1207500,-2640000,12.1752624511719
1215000,-2640000,12.1719408035278
