# x,y,CDP,uncertainty
6.850000000000000000e+05,2.018930000000000000e+06,2.497359616369718083e+01,9.893620358131457238e+00
6.925000000000000000e+05,2.018930000000000000e+06,2.496205663799018382e+01,9.892212913995617640e+00
7.000000000000000000e+05,2.018930000000000000e+06,2.494993276161772044e+01,9.890554364298772327e+00
7.075000000000000000e+05,2.018930000000000000e+06,2.493738725335460771e+01,9.888610499867386494e+00
7.150000000000000000e+05,2.018930000000000000e+06,2.492462553265628600e+01,9.886345552726798047e+00
7.225000000000000000e+05,2.018930000000000000e+06,2.491189641329293281e+01,9.883723039032425106e+00
7.300000000000000000e+05,2.018930000000000000e+06,2.489949111354492572e+01,9.880706852336928137e+00
7.375000000000000000e+05,2.018930000000000000e+06,2.488774031915638574e+01,9.877262610515074925e+00
7.450000000000000000e+05,2.018930000000000000e+06,2.487700909308421870e+01,9.873359243098441596e+00
7.525000000000000000e+05,2.018930000000000000e+06,2.486768950711289250e+01,9.868970785025389603e+00
7.600000000000000000e+05,2.018930000000000000e+06,2.486019097364978236e+01,9.864078318506233956e+00
7.675000000000000000e+05,2.018930000000000000e+06,2.485492837800828525e+01,9.858671977922886853e+00
7.750000000000000000e+05,2.018930000000000000e+06,2.485230824739038979e+01,9.852752905669056815e+00
7.825000000000000000e+05,2.018930000000000000e+06,2.485271333539401439e+01,9.846335022606902854e+00
7.900000000000000000e+05,2.018930000000000000e+06,2.485648614155845948e+01,9.839446459328925698e+00
7.975000000000000000e+05,2.018930000000000000e+06,2.486391201437654885e+01,9.832130488114820821e+00
8.050000000000000000e+05,2.018930000000000000e+06,2.487520259290744917e+01,9.824445804650743241e+00
8.125000000000000000e+05,2.018930000000000000e+06,2.489048041632820230e+01,9.816466036512890625e+00
8.200000000000000000e+05,2.018930000000000000e+06,2.490976556356606153e+01,9.808278403528309042e+00
8.275000000000000000e+05,2.018930000000000000e+06,2.493296516921965988e+01,9.799981521879423951e+00
8.350000000000000000e+05,2.018930000000000000e+06,2.495986659317647849e+01,9.791682424417150088e+00
8.425000000000000000e+05,2.018930000000000000e+06,2.499013489883753891e+01,9.783492955838733351e+00
8.500000000000000000e+05,2.018930000000000000e+06,2.502331512183418383e+01,9.775525782172294953e+00
8.575000000000000000e+05,2.018930000000000000e+06,2.505883959459424659e+01,9.767890316938057538e+00
8.650000000000000000e+05,2.018930000000000000e+06,2.509604034339005096e+01,9.760688899690599385e+00
8.725000000000000000e+05,2.018930000000000000e+06,2.513416630743739333e+01,9.754013557157623637e+00
8.800000000000000000e+05,2.018930000000000000e+06,2.517240486097481877e+01,9.747943628725039389e+00
8.875000000000000000e+05,2.018930000000000000e+06,2.520990686661358637e+01,9.742544448677978863e+00
8.950000000000000000e+05,2.018930000000000000e+06,2.524581426879185386e+01,9.737867156298637639e+00
9.025000000000000000e+05,2.018930000000000000e+06,2.527928906593097125e+01,9.733949566915331530e+00
9.100000000000000000e+05,2.018930000000000000e+06,2.530954239112977078e+01,9.730817901454376084e+00
9.175000000000000000e+05,2.018930000000000000e+06,2.533586239295904363e+01,9.728489059703850472e+00
9.250000000000000000e+05,2.018930000000000000e+06,2.535763964359471956e+01,9.726973051635987133e+00
